자치구명,동이름,건물명,건물용도,층정보,거래가격(만원),평수,건물면적(㎡),년도
구로구,오류동,썬앤빌,아파트,11,6600,4,14.06,2021
노원구,공릉동,진명비베레,아파트,4,6750,4,12.52,2021
구로구,오류동,썬앤빌,아파트,8,7000,4,14.06,2021
구로구,오류동,썬앤빌,아파트,8,7000,4,14.06,2021
종로구,행촌동,대성아파트,아파트,1,7500,6,19.27,2021
광진구,화양동,화양타워,아파트,2,7500,5,15.18,2021
광진구,화양동,화양타워,아파트,2,7600,5,15.95,2021
구로구,오류동,썬앤빌,아파트,7,7600,4,14.06,2021
구로구,오류동,썬앤빌,아파트,10,7600,4,14.06,2021
도봉구,창동,월가타워,아파트,14,7700,4,13.02,2021
중랑구,묵동,헤르만스테이트,아파트,6,7700,4,13.77,2021
중랑구,묵동,헤르만스테이트,아파트,10,7700,4,13.77,2021
강서구,방화동,경동팰리스힐,아파트,2,7800,4,12.22,2021
강서구,방화동,경동팰리스힐,아파트,2,7800,4,12.22,2021
강서구,화곡동,한양아이클래스,아파트,9,7800,4,13.79,2021
도봉구,창동,월가타워,아파트,9,7800,4,13.02,2021
강서구,화곡동,한양아이클래스,아파트,7,7800,4,13.79,2021
강동구,길동,현대웰하임(201동),아파트,2,7800,4,14.47,2021
강동구,길동,현대웰하임(201동),아파트,5,7900,4,13.11,2021
강서구,방화동,경동팰리스힐,아파트,4,7900,4,12.22,2021
구로구,오류동,썬앤빌,아파트,10,7900,4,14.06,2021
강동구,길동,현대웰하임(201동),아파트,3,7900,4,14.47,2021
강서구,화곡동,한양아이클래스,아파트,5,7900,4,13.79,2021
강서구,방화동,경동팰리스힐,아파트,5,8000,4,12.22,2021
구로구,오류동,썬앤빌,아파트,16,8000,4,14.06,2021
광진구,화양동,화양타워,아파트,2,8000,5,16.77,2021
구로구,오류동,썬앤빌,아파트,10,8000,4,14.06,2021
강서구,방화동,경동팰리스힐,아파트,5,8000,4,12.22,2021
광진구,화양동,화양타워,아파트,2,8000,5,15.18,2021
강서구,화곡동,한양아이클래스,아파트,7,8000,4,13.79,2021
강동구,길동,현대웰하임(201동),아파트,4,8000,4,14.47,2021
구로구,오류동,썬앤빌,아파트,16,8000,4,14.06,2021
강서구,화곡동,한양아이클래스,아파트,10,8000,4,13.79,2021
강동구,길동,강동와이시티,아파트,13,8000,4,13.97,2021
중랑구,묵동,헤르만스테이트,아파트,6,8150,4,13.77,2021
강동구,길동,현대웰하임(201동),아파트,4,8170,4,14.47,2021
강서구,방화동,경동팰리스힐,아파트,6,8200,4,12.35,2021
강서구,화곡동,경동엠파이어스테이트,아파트,5,8300,4,14.32,2021
강서구,방화동,경동팰리스힐,아파트,4,8300,4,12.22,2021
구로구,오류동,썬앤빌,아파트,8,8300,4,14.06,2021
구로구,구로동,코원,아파트,7,8300,4,12.49,2021
강서구,방화동,경동팰리스힐,아파트,6,8400,4,12.22,2021
구로구,오류동,썬앤빌,아파트,16,8400,4,14.06,2021
중랑구,망우동,EG Soul Leader,아파트,11,8450,4,13.55,2021
구로구,오류동,썬앤빌,아파트,13,8500,4,14.06,2021
강서구,화곡동,한양아이클래스,아파트,12,8500,4,13.79,2021
광진구,화양동,화양타워,아파트,2,8500,6,20.69,2021
강서구,방화동,AirPalace(619-7),아파트,3,8500,4,14.1,2021
동대문구,장안동,양우 내안애 애플,아파트,6,8500,5,15.34,2021
금천구,시흥동,와이즈플레이스,아파트,15,8500,4,14.22,2021
강동구,길동,현대웰하임(201동),아파트,4,8500,4,14.47,2021
노원구,공릉동,진명비베레,아파트,4,8500,4,12.52,2021
강서구,화곡동,한양아이클래스,아파트,10,8500,4,13.79,2021
중랑구,면목동,신영,아파트,8,8600,4,14.43,2021
금천구,시흥동,와이즈플레이스,아파트,14,8650,4,14.22,2021
강동구,길동,현대웰하임(201동),아파트,4,8680,4,14.47,2021
중랑구,면목동,신영,아파트,6,8700,4,14.43,2021
강동구,길동,현대웰하임(201동),아파트,5,8700,4,13.11,2021
금천구,시흥동,와이즈플레이스,아파트,18,8750,4,14.22,2021
금천구,시흥동,와이즈플레이스,아파트,15,8800,4,14.2,2021
금천구,시흥동,와이즈플레이스,아파트,19,8800,4,14.22,2021
